entityid,entityname,principaladdress1,principaladdress2,principalcity,principalstate,principalzipcode,principalcountry,mailingaddress1,mailingaddress2,mailingcity,mailingstate,mailingzipcode,mailingcountry,entitystatus,jurisdictonofformation,entitytype,agentfirstname,agentmiddlename,agentlastname,agentsuffix,agentorganizationname,agentprincipaladdress1,agentprincipaladdress2,agentprincipalcity,agentprincipalstate,agentprincipalzipcode,agentprincipalcountry,agentmailingaddress1,agentmailingaddress2,agentmailingcity,agentmailingstate,agentmailingzipcode,agentmailingcountry,entityformdate
19871383703,"GRANBY DAIRY, INC., Dissolved June 22, 2009",106 EAST JASPER AVENUE,,GRANBY,CO,80446,US,PO BOX 103,,GRANBY,CO,80446,US,Voluntarily Dissolved,CO,DPC,PAUL,R.,STUART,,,106 EAST JASPER AVENUE,,GRANBY,CO,80446,US,BOX 103,,GRANBY,CO,80446,US,10/12/1979
19871402719,"DAIRY DELITE OF COLORADO, INC.",3080 WEST EISENHOWER,,LOVELAND,CO,80537,US,,,,,,US,Good Standing,CO,DPC,MICHAEL,R.,EMBKE,,,3080 WEST EISENHOWER,,LOVELAND,CO,80537,US,,,,,,,05/15/1980
19871414621,"TUCKER DAIRY CO., Dissolved November 14, 2022",43550 WELD COUNTY ROAD 39,,PIERCE,CO,80650,US,,,,,,,Voluntarily Dissolved,CO,DPC,CHARLES,,TUCKER,,,43550 WELD COUNTY ROAD 39,,PIERCE,CO,80650,US,,,,,,,10/14/1980
19871449576,"COLUMBINE DAIRY KING, INC., Dissolved July 3, 2002",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,09/22/1981
19871465584,"AMERICAN DAIRY AND FOOD CONSULTING LABORATORIES, INC.",1280 S Parker Rd,,Denver,CO,80231,US,,,,,,US,Good Standing,CO,DPC,Rasheed,,Hussain,,,1280 S Parker Rd,,Denver,CO,80231,US,,,,,,,02/19/1982
19871504446,"HIGH PLAINS DAIRY GOAT ASSOCIATION, Dissolved November 1, 1999",9787 S DEER CREEK CANYON RD,,LITTLETON,CO,80127,US,,,,,,,Administratively Dissolved,CO,DNC,,,,,,,,,,,,,,,,,,01/10/1983
19871515982,COLORADO DAIRY GOAT ASSOCIATION,2434 County Road 12,,Erie,CO,80516,US,,,,,,,Good Standing,CO,DNC,Melanie,,Bohren,,,8800 Quail Rd,,Longmont,CO,80503,US,2434 County Road 12,,Erie,CO,80516,US,04/08/1983
19871549795,DAIRY ENGINEERING COMPANY,5783 Sheridan Frontage Rd Bldg H,Dairy Engineering Company,Arvada,CO,80002,US,,,,,,,Good Standing,CO,DPC,WILLIAM,,HIRSH,,,5783 Sheridan Frontage Rd Bldg H,Dairy Engineering Company,Arvada,CO,80002,US,,,,,,,12/16/1983
19871596755,"BECKSTED DAIRY, INC.",3508 East County Rd 68,,WELLINGTON,CO,80549,US,,,,,,US,Good Standing,CO,DPC,BECK,W.,BECKSTED,,,3508 East County Rd 68,,WELLINGTON,CO,80549,US,,,,,,,12/03/1984
19871653154,"FRESNO DAIRY QUEEN, LIMITED",,,,,,,,,,,,,Exists,CO,DLP,MICHAEL,T.,HENSICK,,,"KISSINGER & LANSING, P.C. 50 S. STEELE ST., STE. 3",,DENVER,CO,80209,US,,,,,,,01/10/1986
19871659042,"VANDER WAL DAIRY SALES & SERVICE, INC., Dissolved December 31, 2019",26500 CR 388,,Kersey,CO,80644,US,26500 CR 388,,Kersey,CO,80644,US,Voluntarily Dissolved,CO,DPC,GERHARDT,,Vander Wal,,,26500 CR 388,,Kersey,CO,80644,US,26500 CR,,Kersey,CO,80644,US,02/24/1986
19871688864,"SMITH DAIRY LIMITED PARTNERSHIP, Dissolved June 12, 2007",,,,,,,4194 County Road 30,,Yuma,CO,80759,US,Voluntarily Dissolved,CO,DLP,RICHARD,E.,SMITH,,,4194 COUNTY ROAD 30,,YUMA,CO,80759,US,,,,,,,09/12/1986
19871694963,"CONEY ISLAND DAIRYLAND, INC., Dissolved August 1, 2001",25877 CONIFER RD,,CONIFER,CO,80433,US,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,10/28/1986
19871702174,BURGESS DAIRY QUEEN PARTNERSHIP LTD.,,,,,,,,,,,,,Exists,CO,DLP,ROBERT,F.,BURGESS,,,"1815 REGAL COURT, UNIT A",,LOUISVILLE,CO,80027,US,,,,,,,12/19/1986
19871712067,"AFFILIATED DAIRY DISTRIBUTERS, L.P., Dissolved June 29, 2017",1301 Omaha Ave,PO Box 1067,Norfolk,NE,68702,US,,,,,,,Voluntarily Dissolved,CO,DLP,,,,,The Corporation Company,7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112-1268,US,,,,,,,02/23/1987
19871717030,"BROWN FARMS DAIRY, INC.",201 Mallow Ct,,New Castle,CO,81647,US,,,,,,,Good Standing,CO,DPC,WALTER,E.,BROWN,III,,201 Mallow Ct,,New Castle,CO,81647,US,,,,,,,03/23/1987
19871717862,"DAIRYLAND RESOURCES INC., Dissolved August 31, 2005",8825 E SPEEDWAY,,TUCSON,AZ,85710,US,PO BOX 13205,,TUCSON,AZ,85732-3205,US,Administratively Dissolved,CO,DPC,KENNETH,,RINGLING,,,1901 N UNION STE 202,,COLORADO SPRINGS,CO,80909,US,,,,,,,03/27/1987
19871718618,"SINTON DAIRY FOODS COMPANY, INC.>>, Colorado Authority Terminated May 20, 2004",3801 N SINTON RD,,COLORADO SPRINGS,CO,80907,US,,,,,,,Withdrawn,MO,FPC,,,,,The Corporation Company,7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112-1268,US,,,,,,,04/01/1987
19871759224,"TRIAD DAIRY QUEEN, INC., Dissolved September 1, 2000",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,11/10/1987
19871766964,"HULSTROM DAIRY, INC.",2714 County Road 7,,Erie,CO,80516,US,,,,,,,Good Standing,CO,DPC,Genell,F,Hulstrom,,,2714 County Road 7,,Erie,CO,80516,US,,,,,,,12/29/1987
19871942013,DAIRYLAND AMERICAN INSURANCE COMPANY,1800 N Point Dr,,Stevens Point,WI,54481,US,,,,,,,Good Standing,WI,FPC,,,,,C T Corporation System,7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112,US,,,,,,,06/16/1970
19881020764,"W-G DAIRY DISTRIBUTORS, LTD.",1983 TOWER RD,,AURORA,CO,80011,US,,,,,,,Exists,CO,DLP,KENNETH,M.,KEGERREIS,,,1983 TOWER RD,,AURORA,CO,80011,US,,,,,,,03/23/1988
19881109059,"STRUCK DAIRY, INC., Dissolved April 6, 2006",507 WELD COUNTY ROAD # 23 1/2,,BRIGHTON,CO,80603,US,507 Weld County Rd #23 1/2,,Brighton,CO,80603,US,Voluntarily Dissolved,CO,DPC,JAMES,,STRUCK,,,507 WELD COUNTY ROAD # 23 1/2,,BRIGHTON,CO,80603,US,,,,,,,12/28/1988
19881110116,"VON FELDT DAIRY, INC., Delinquent May 1, 2023",10933 WELD CTY RD 22,,FT LUPTON,CO,80621,US,,,,,,,Delinquent,CO,DPC,Daniel,L,Von Feldt,,,10933 WELD CTY RD 22,,FT LUPTON,CO,80621,US,,,,,,,12/30/1988
19891000570,"COLORADO DAIRY QUEEN OPERATORS ASSOCIATION, INC.",151 Summer St Unit 529,,Morrison,CO,80465,US,,,,,,,Good Standing,CO,DC55,Todd,R,Wingert,,,151 Summer St Unit 529,,Morrison,CO,80465,US,,,,,,,01/04/1989
19891013917,"FRESNO DAIRY, LTD.",,,,,,,,,,,,,Exists,CO,DLP,DOUGLAS,S.,HOLDEN,,,9565 W KENTUCKY AVE,,LAKEWOOD,CO,80226,US,,,,,,,03/03/1989
19891057738,"DUO DAIRY, LTD., LLLP, Delinquent July 1, 2005",6875 NCR 9,,LOVELAND,CO,80538,US,,,,,,,Delinquent,CO,DLLLP,MICHAEL,,DICKINSON,,,6875 NCR 9,,LOVELAND,CO,80538,US,,,,,,,05/25/1989
19891098304,"RAINBOW PARK DAIRY, INC.",1500 Park Ave,,Canon City,CO,81212,US,,,,,,,Good Standing,CO,DPC,JoElyn,J,McConnell,,,1500 Park Ave,,Canon City,CO,81212,US,,,,,,,10/03/1989
19891114700,The Dairy Center for the Arts,2590 Walnut St,,Boulder,CO,80302,US,2590 Walnut St,Box 1,Boulder,CO,80302,US,Good Standing,CO,DNC,,,,,Dairy Center for the Arts,2590 Walnut St.,,Boulder,CO,80302,US,,,,,,,12/28/1989
19901016056,MCINTOSH DAIRY INC.,11910 Riverdale Rd,,Brighton,CO,80602,US,,,,,,,Good Standing,CO,DPC,,,,,McIntosh Dairy Inc,11910 Riverdale Rd,,Brighton,CO,80602,US,,,,,,,03/13/1990
19901059306,"SHINING HEART DAIRY, INC., Delinquent November 1, 2007",16291 CTY RD 19,,Ft. Morgan,CO,80701,US,,,,,,,Delinquent,CO,DPC,C.,DAVID,PARRISH,,,16291 COUNTY ROAD 19,,FORT MORGAN,CO,80701,US,,,,,,,05/24/1990
19901099429,"H & K DAIRY, INC., Dissolved May 26, 2008",9090 PAINTED HORSE LN,,WELLINGTON,CO,80549,US,9090 Painted Horse Lane,,Wellington,CO,80549,US,Voluntarily Dissolved,CO,DPC,C.,RICHARD,HAWLEY,,,9090 PAINTED HORSE LN,,WELLINGTON,CO,80549,US,,,,,,,11/02/1990
19911025501,"BERNHARDT DAIRY FARM, INC.",12281 COLO ST HWY 60,,MILLIKEN,CO,80543,US,,,,,,,Delinquent,CO,DPC,TIMOTHY,A.,BERNHARDT,,,12281 COLO ST HWY 60,,MILLIKEN,CO,80543,US,12281 State Hwy 60,,Milliken,CO,80543,US,04/12/1991
19911056494,"THOMPSON DAIRY, INC., Dissolved May 1, 2004",POB 298,,PALMER LAKE,CO,80133,US,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,07/22/1991
19911062958,"D.L. DAIRY & ASSOCIATES, INC., Dissolved June 1, 2002",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,08/12/1991
19911102310,"DAIRY KREME OF RIFLE, INC., Dissolved October 1, 2000",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,12/17/1991
19921001487,"WEBB DAIRY & FARM, INC.",5644 Highway 348,,Olathe,CO,81425,US,,,,,,,Good Standing,CO,DPC,John,S.,Gibson,,,5595 Highway 348,,Olathe,CO,81425,US,,,,,,,01/07/1992
19921033217,"LOVELAND DAIRY QUEEN, INC.",300 E Eisenhower Blvd,,Loveland,CO,80537,US,,,,,,,Good Standing,CO,DPC,,,,,Pamela Uehran EA,300 E Eisenhower Blvd,,Loveland,CO,80537,US,18981 Elm St,PO Box 49,Lucerne,CO,80646,US,03/31/1992
19921085881,LONGMONT DAIRY FARM INC.,920 Coffman St,,Longmont,CO,80501,US,PO Box 998,,Longmont,CO,80502,US,Good Standing,CO,DPC,Steven,M.,Bush,,,4 W Dry Creek Cir Ste 100,,Littleton,CO,80120,US,,,,,,,09/01/1992
19931000246,"CREAM O'WEBER DAIRY, LLC, Colorado Authority Relinquished June 27, 2016",4282 West 1730 South,,Salt Lake City,UT,84104,US,Legal Department,PO Box 34377,Seattle,WA,98124,US,Withdrawn,UT,FLLC,,,,,The Corporation Company,7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112-1268,US,,,,,,,01/04/1993
19931021465,"AMERICAN DAIRY EXPORTS, INC., Dissolved June 2, 2010",12735 WCR 34,,PLATTEVILLE,CO,80651,US,12735 WCR 34,,Platteville,CO,80651,US,Voluntarily Dissolved,CO,DPC,,,,,"American Dairy Exports, Inc",12735 WCR 34,,PLATTEVILLE,CO,80651,US,,,,,,,03/01/1993
19931039002,"RAYMOND DAIRY, INC.",1412 M 3/4 Rd,,Loma,CO,81524,US,,,,,,,Good Standing,CO,DPC,ROBERT,H.,RAYMOND,,,1412 M 3/4 Rd,,Loma,CO,81524,US,,,,,,,04/13/1993
19931062940,"ZITEK DAIRY, INC.",46499 WCR 136,,GROVER,CO,80729,US,,,,,,,Good Standing,CO,DPC,MERLE,,ZITEK,,,46499 WCR 136,,GROVER,CO,80729,US,,,,,,,06/17/1993
19931064224,DYECREST DAIRY LIMITED LIABILITY COMPANY,1137 N County Road 1,,Fort Collins,CO,80524,US,,,,,,,Good Standing,CO,DLLC,TERENCE,W.,DYE,,,1137 N County Road 1,,Fort Collins,CO,80524,US,,,,,,,06/21/1993
19931071546,"DAIRY QUEEN NO. 10, Dissolved May 1, 2003",,,,,,,7795 W 106TH AVE,,BROOMFIELD,CO,80021,US,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,07/12/1993
19931073365,"PESCHELS DAIRY, INC.",20474 WCR 39,,LA SALLE,CO,80645,US,20474 County Road 39,,La Salle,CO,80645,US,Noncompliant,CO,DPC,Kurt,L,Peschel,,,20474 County Road 39,,La Salle,CO,80645,US,,,,,,,07/16/1993
19931075098,"A DIVINE DAIRY AND GRILL, INC., Dissolved June 30, 1999",720 ARAPAHOE ST,,GOLDEN,CO,80401,US,,,,,,,Voluntarily Dissolved,CO,DPC,DIANA,L.,COVARELLI-DORE,,,8983 W WARREN DR,,LAKEWOOD,CO,80227,US,,,,,,,07/22/1993
19941000480,"SOUTHWEST PLAZA DAIRY QUEEN, INC., Dissolved February 1, 2005",7135 S Gray Ct,,LITTLETON,CO,80128,US,7135 S Gray Ct,,Littleton,CO,80128,US,Voluntarily Dissolved,CO,DPC,KURT,,Musgrave,,,7135 S Gray ct,,LITTLETON,CO,80128,US,,,,,,,01/04/1994
19941024443,"DAIRY QUEEN OF GLENWOOD SPRINGS, INC., Dissolved January 1, 2001",51241 HIGHWAY 6 & 24,,GLENWOOD SPRINGS,CO,81601,US,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,03/02/1994
19941040292,"PEARSON DAIRY, INC., Dissolved March 5, 2009",21467 COUNTY ROAD 23,,FORT MORGAN,CO,80701,US,21467 COUNTY RD 23,,FORT MORGAN,CO,80701,US,Voluntarily Dissolved,CO,DPC,THEODORE,,PEARSON,,,21467 COUNTY ROAD 23,,FORT MORGAN,CO,80701,US,,,,,,,04/05/1994
19951008368,"GRIFFITH DAIRY, INC.",16120 County Road 24,,Fort Morgan,CO,80701,US,,,,,,,Good Standing,CO,DPC,Harold,,Griffith,,,16120 County Road 24,,Fort Morgan,CO,80701,US,,,,,,,01/24/1995
19951027999,"RAILROAD DAIRY KREME, INC., Dissolved January 1, 2002",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,03/07/1995
19951034842,"DAIRY FACILITIES, L.L.C., Dissolved January 1, 2001",,,,,,,,,,,,,Administratively Dissolved,CO,DLLC,JAMES,R.,KRENDL,,,KRENDL HOROWITZ & KRENDL 370 17TH ST STE 5350,,DENVER,CO,80202,US,,,,,,,03/16/1995
19951079755,"STERLING DAIRY QUEEN, INC., Delinquent May 1, 2013",701 W MAIN,,STERLING,CO,80751,US,,,,,,,Delinquent,CO,DPC,LARRY,E.,AKERS,,,909 HOLLY DR,,STERLING,CO,80751,US,,,,,,,06/20/1995
19951145113,SINTON DAIRY FOODS COMPANY L.L.C.,"5301 Alpha Road, Suite 80-300",,Dallas,TX,75240,US,,,,,,,Good Standing,CO,DLLC,,,,,C T Corporation System,7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112-1268,US,,,,,,,11/28/1995
19951157899,EMPIRE DAIRY LLC,1473 County Rd S,,Wiggins,CO,80654,US,,,,,,,Good Standing,CO,DLLC,William,M,Dinis,,,2487 US Highway 34,,Wiggins,CO,80654,US,,,,,,,12/26/1995
19961009568,"MARRS MILKY WAY DAIRY LLP, Withdrawn February 14, 2018",2528 CR 19,,FORT LUPTON,CO,80621,US,2528 County Road 19,,Fort Lupton,CO,80621,US,Withdrawn,CO,GP,Barry,L,Marrs,,,2528 CR 19,,Fort Lupton,CO,80621,US,2528 County Road 19,,Fort Lupton,CO,80621,US,01/22/1996
19961015328,"GRETT DAIRY AND FEEDLOT, A LIMITED PARTNERSHIP, Dissolved October 25, 2012",,,,,,,,,,,,,Voluntarily Dissolved,CO,DLP,LARRY,,BECKNER,,,850 ALPINE BANK BLDG,,GRAND JUNCTION,CO,81501,US,,,,,,,02/01/1996
19961035033,"DAISY LANE DAIRY, INC.",44500 County Road 13,,Cope,CO,80812,US,,,,,,,Good Standing,CO,DPC,Dennis,Wilbert,Koolstra,,,44500 County Road 13,,Cope,CO,80812,US,44500 County Road 13,,Cope,CO,80812,US,03/13/1996
19961044398,"HUSKER DAIRY, INC., Dissolved February 1, 2001",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,04/01/1996
19961046186,"DAIRY FARMERS OF AMERICA, INC.",1405 N 98th St,,Kansas City,KS,66111,US,,,,,,,Good Standing,KS,FPC,,,,,Corporation Service Company,1900 W. Littleton Boulevard,,Littleton,CO,80120,US,,,,,,,04/03/1996
19961092956,CAMERLO DAIRY LLC,800 N Frazier Ave,,Florence,CO,81226,US,2722 Cedarhill St,,Granbury,TX,76048,US,Good Standing,CO,DLLC,Robert,E.,Hammel,,,800 N Frazier Ave,,Florence,CO,81226,US,,,,,,,07/15/1996
19961104929,"ASH LANE DAIRY, LLC, Delinquent August 1, 2022",4320 65th Ave,,GREELEY,CO,80634,US,1901 1st Avenue,,Greeley,CO,80631,US,Delinquent,CO,DLLC,Randall,,MOSSBERG,,,1901 1st Avenue,,GREELEY,CO,80631,US,,,,,,,08/09/1996
19961159250,"DEJONG DAIRY, INC., Dissolved October 1, 2003",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,12/09/1996
19961161524,"LW DAIRY, INC.",22168 WCR 61,,KERSEY,CO,80644,US,,,,,,,Delinquent,CO,DPC,LINDA,,WOLFE,,,22168 WCR 61,,KERSEY,CO,80644,US,,,,,,,12/12/1996
19961164290,"BEARSON DAIRY, L.L.C.",9208 WCR 25,,FT LUPTON,CO,80621,US,,,,,,,Good Standing,CO,DLLC,BRADLEY,,BEARSON,,,9208 WCR 25,,FT LUPTON,CO,80621,US,,,,,,,12/18/1996
19971008885,"MAMM-KEY ALPINE DAIRY GOATS, LLC",7195 County Road 315,,Silt,CO,81652,US,,,,,,,Good Standing,CO,DLLC,TINA,,ANTES,,,7195 County Road 315,,Silt,CO,81652,US,7195 County Road 315,,Silt,CO,81652,US,01/21/1997
19971013486,"GUNNISON DAIRY QUEEN, L.L.C., Dissolved January 1, 2003",,,,,,,,,,,,,Administratively Dissolved,CO,DLLC,PAUL,N.,ALISON,,,1198 N MAIN,,GUNNISON,CO,81230,US,,,,,,,01/29/1997
19971018478,"BUSKER DAIRY, LLC, Dissolved October 7, 1999",7678 WCR 17,,FT LUPTON,CO,80621,US,,,,,,,Voluntarily Dissolved,CO,DLLC,GEORGE,H.,OTTENHOFF,,,1011 11TH AVE,,GREELEY,CO,80631,US,,,,,,,02/06/1997
19971036250,"DAIRY PARTNERS, LLC, Colorado Authority Terminated September 1, 2002",1910 DECHERD BLVD 2ND FLOOR,,DECHERD,TN,37324,US,PO BOX 188,,WINCHESTER,TN,37398,US,Revoked,DE,FLLC,,,,,,,,,,,,,,,,,,03/10/1997
19971037511,"BOULDER DAIRY INC., Dissolved January 2, 2000",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,03/11/1997
19971132832,"M & J DAIRY, LLC",25460 County Road 49,,Greeley,CO,80631,US,25871 County Road 52,,Kersey,CO,80644,US,Good Standing,CO,DLLC,Joann,,Flaschenriem,,,25871 County Road 52,,Kersey,CO,80644,US,,,,,,,08/20/1997
19971158529,"MORWAI DAIRY, LLC",19999 WCR 28,,Hudson,CO,80642,US,PO BOx 205,,Ft. Lupton,CO,80621,US,Good Standing,CO,DLLC,John,R,Moser,,,6600 W 20th St Unit 11,,Greeley,CO,80634,US,PO Box 205,,Fort Lupton,CO,80621,US,10/02/1997
19971204371,"DAIRY SPECIALISTS, L.L.C.",3309 Empire St,,Evans,CO,80620,US,PO Box 3844,,Omaha,NE,68103,US,Good Standing,CO,DLLC,,,,,"Registered Agent Solutions, Inc.",36 South 18th Avenue Suite D,,Brighton,CO,80601,US,,,,,,,12/18/1997
19971206001,"Podtburg Dairy Limited Partnership, LLLP",45490 County Road 39,,Pierce,CO,80650,US,,,,,,,Good Standing,CO,DLLLP,GREG,,PODTBURG,,,45490 County Road 39,,Pierce,CO,80650,US,,,,,,,12/22/1997
19971208738,"EMPIRE DAIRY KING, INC., Dissolved August 31, 2020",181 East Park Ave,,EMPIRE,CO,80438,US,P.O.  Box 412,,Empire,CO,80438,US,Voluntarily Dissolved,CO,DPC,SANDRA,JEAN,CUCINELLA,,,21 E MT AVE,,EMPIRE,CO,80438,US,BOX 412,,EMPIRE,CO,80438,US,12/24/1997
19971209477,"DOUBLE R DAIRY, INC., Dissolved October 1, 2002",,,,,,,,,,,,,Administratively Dissolved,CO,DPC,,,,,,,,,,,,,,,,,,12/29/1997
